x y z
59.9 562.47 -9.62369
60 561.504 -9.68951
60.1 560.532 -9.75557
60.2 559.553 -9.82185
60.3 558.567 -9.88837
60.4 557.575 -9.95513
60.5 556.576 -10.0221
60.6 555.571 -10.0894
60.7 554.558 -10.1569
60.8 553.539 -10.2246
60.9 552.513 -10.2926
61 551.481 -10.3608
61.1 550.441 -10.4293
61.2 549.395 -10.4981
61.3 548.342 -10.5671
61.4 547.281 -10.6364
61.5 546.214 -10.7059
61.6 545.14 -10.7757
61.7 544.059 -10.8458
61.8 542.971 -10.9161
61.9 541.876 -10.9868
62 540.774 -11.0577
62.1 539.664 -11.1289
62.2 538.548 -11.2004
62.3 537.424 -11.2722
62.4 536.293 -11.3442
62.5 535.155 -11.4166
62.6 534.01 -11.4893
62.7 532.858 -11.5622
62.8 531.698 -11.6355
62.9 530.53 -11.7091
63 529.356 -11.783
63.1 528.174 -11.8572
63.2 526.984 -11.9317
63.3 525.788 -12.0065
63.4 524.583 -12.0817
63.5 523.371 -12.1572
63.6 522.152 -12.233
63.7 520.925 -12.3092
63.8 519.69 -12.3857
63.9 518.447 -12.4625
64 517.197 -12.5397
64.1 515.939 -12.6173
64.2 514.674 -12.6952
64.3 513.4 -12.7734
64.4 512.119 -12.852
64.5 510.83 -12.931
64.6 509.533 -13.0104
64.7 508.228 -13.0901
64.8 506.915 -13.1702
64.9 505.594 -13.2507
65 504.265 -13.3316
65.1 502.928 -13.4128
65.2 501.582 -13.4945
65.3 500.229 -13.5765
65.4 498.867 -13.659
65.5 497.497 -13.7418
65.6 496.118 -13.8251
65.7 494.732 -13.9088
65.8 493.337 -13.9929
65.9 491.933 -14.0774
66 490.521 -14.1624
66.1 489.101 -14.2478
66.2 487.672 -14.3336
66.3 486.234 -14.4199
66.4 484.788 -14.5067
66.5 483.333 -14.5939
66.6 481.869 -14.6815
66.7 480.396 -14.7696
66.8 478.915 -14.8582
66.9 477.425 -14.9473
67 475.925 -15.0368
67.1 474.417 -15.1269
67.2 472.9 -15.2174
67.3 471.374 -15.3084
67.4 469.838 -15.4
67.5 468.294 -15.492
67.6 466.74 -15.5845
67.7 465.177 -15.6776
67.8 463.604 -15.7712
67.9 462.023 -15.8654
68 460.431 -15.96
68.1 458.83 -16.0553
68.2 457.22 -16.1511
68.3 455.6 -16.2474
68.4 453.971 -16.3443
68.5 452.331 -16.4418
68.6 450.682 -16.5398
68.7 449.023 -16.6385
68.8 447.355 -16.7377
68.9 445.676 -16.8376
69 443.987 -16.938
69.1 442.288 -17.0391
69.2 440.579 -17.1408
69.3 438.86 -17.2431
69.4 437.131 -17.346
69.5 435.391 -17.4497
69.6 433.641 -17.5539
69.7 431.88 -17.6588
69.8 430.109 -17.7644
69.9 428.327 -17.8707
70 426.535 -17.9777
70.1 424.732 -18.0853
70.2 422.918 -18.1937
70.3 421.093 -18.3027
70.4 419.257 -18.4125
70.5 417.41 -18.5231
70.6 415.552 -18.6343
70.7 413.683 -18.7463
70.8 411.803 -18.8591
70.9 409.912 -18.9727
71 408.009 -19.087
71.1 406.094 -19.2021
71.2 404.168 -19.318
71.3 402.23 -19.4348
71.4 400.281 -19.5523
71.5 398.32 -19.6707
71.6 396.347 -19.7899
71.7 394.362 -19.91
71.8 392.365 -20.031
71.9 390.356 -20.1528
72 388.334 -20.2755
72.1 386.301 -20.3991
72.2 384.254 -20.5236
72.3 382.196 -20.6491
72.4 380.125 -20.7755
72.5 378.041 -20.9028
72.6 375.944 -21.0311
72.7 373.834 -21.1604
72.8 371.712 -21.2907
72.9 369.576 -21.422
73 367.427 -21.5543
73.1 365.265 -21.6876
73.2 363.09 -21.822
73.3 360.901 -21.9574
73.4 358.698 -22.0939
73.5 356.482 -22.2315
73.6 354.252 -22.3703
73.7 352.008 -22.5101
73.8 349.75 -22.6511
73.9 347.478 -22.7932
74 345.191 -22.9365
74.1 342.89 -23.081
74.2 340.575 -23.2267
74.3 338.245 -23.3737
74.4 335.9 -23.5219
74.5 333.541 -23.6713
74.6 331.166 -23.822
74.7 328.776 -23.9741
74.8 326.371 -24.1274
74.9 323.951 -24.2821
75 321.515 -24.4382
75.1 319.063 -24.5956
75.2 316.595 -24.7544
75.3 314.112 -24.9147
75.4 311.612 -25.0764
75.5 309.097 -25.2396
75.6 306.565 -25.4043
75.7 304.016 -25.5704
75.8 301.45 -25.7382
75.9 298.868 -25.9075
76 296.269 -26.0784
76.1 293.652 -26.2508
76.2 291.019 -26.425
76.3 288.367 -26.6008
76.4 285.698 -26.7783
76.5 283.012 -26.9575
76.6 280.307 -27.1385
76.7 277.584 -27.3213
76.8 274.843 -27.5058
76.9 272.083 -27.6922
77 269.304 -27.8805
77.1 266.506 -28.0707
77.2 263.69 -28.2628
77.3 260.854 -28.4569
77.4 257.998 -28.653
77.5 255.123 -28.8512
77.6 252.228 -29.0514
77.7 249.313 -29.2537
77.8 246.377 -29.4581
77.9 243.421 -29.6648
78 240.444 -29.8737
78.1 237.446 -30.0848
78.2 234.427 -30.2982
78.3 231.387 -30.514
78.4 228.324 -30.7322
78.5 225.24 -30.9528
78.6 222.134 -31.1759
78.7 219.005 -31.4015
78.8 215.853 -31.6297
78.9 212.679 -31.8605
79 209.481 -32.0939
79.1 206.26 -32.3301
79.2 203.015 -32.5691
79.3 199.746 -32.8108
79.4 196.453 -33.0555
79.5 193.135 -33.3031
79.6 189.792 -33.5537
79.7 186.424 -33.8073
79.8 183.03 -34.0641
79.9 179.611 -34.324
80 176.166 -34.5872
80.1 172.694 -34.8536
80.2 169.195 -35.1235
80.3 165.669 -35.3968
80.4 162.115 -35.6736
80.5 158.534 -35.9539
80.6 154.924 -36.238
80.7 151.286 -36.5258
80.8 147.619 -36.8174
80.9 143.923 -37.1129
81 140.196 -37.4123
81.1 136.44 -37.7159
81.2 132.653 -38.0236
81.3 128.835 -38.3356
81.4 124.986 -38.6519
81.5 121.105 -38.9726
81.6 117.191 -39.2979
81.7 113.245 -39.6279
81.8 109.265 -39.9625
81.9 105.252 -40.3021
82 101.205 -40.6466
82.1 97.1226 -40.9962
82.2 93.0053 -41.3511
82.3 88.8523 -41.7112
82.4 84.6629 -42.0768
82.5 80.4367 -42.448
82.6 76.1731 -42.825
82.7 71.8715 -43.2078
82.8 67.5314 -43.5966
82.9 63.152 -43.9916
83 58.7328 -44.3929
83.1 54.2732 -44.8007
83.2 49.7725 -45.2151
83.3 45.2299 -45.6364
83.4 40.645 -46.0646
83.5 36.0168 -46.5
83.6 31.3447 -46.9428
83.7 26.628 -47.3932
83.8 21.8658 -47.8513
83.9 17.0575 -48.3174
84 12.2021 -48.7917
84.1 7.29884 -49.2744
84.2 2.34691 -49.7658
84.3 -2.65461 -50.266
